Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
17,Sat,12/11/10,,Arles-Avignon,0–1,Lille,,Parc des Sports,Damien Ledentu,Match Report,
17,Sat,12/11/10,,Auxerre,1–1,Marseille,,Stade Abbé Deschamps,Fredy Fautrel,Match Report,
17,Sat,12/11/10,,Caen,0–0,Nice,,Stade Michel d'Ornano,Antony Gautier,Match Report,
17,Sat,12/11/10,,Brest,0–0,Montpellier,,Stade Francis,Ruddy Buquet,Match Report,
17,Sat,12/11/10,,Lorient,3–0,Lens,,Stade Yves Allainmat,Wilfried Bien,Match Report,
17,Sat,12/11/10,,Valenciennes,1–2,Paris S-G,,Stade Nungesser,Bruno Coué,Match Report,
17,Sun,12/12/10,,Lyon,2–0,Toulouse,,Stade Municipal de Gerland,Hervé Piccirillo,Match Report,
17,Sun,12/12/10,,Monaco,0–2,Saint-Étienne,,Stade Louis II,Bartolomeu Varela,Match Report,
17,Sun,12/12/10,,Bordeaux,0–0,Rennes,,Stade Chaban,Philippe Kalt,Match Report,
,,,,,,,,,,,
18,Sat,12/18/10,,Saint-Étienne,2–0,Arles-Avignon,,Stade Geoffroy,Stéphane Lannoy,Match Report,
18,Sat,12/18/10,,Paris S-G,2–2,Monaco,,Parc des Princes,Lionel Jaffredo,Match Report,
18,Sat,12/18/10,,Montpellier,1–1,Auxerre,,Stade de la Mosson et du Mondial 98,Laurent Duhamel,Match Report,
18,Sat,12/18/10,,Nice,1–1,Brest,,Allianz Riviera,Olivier Thual,Match Report,
18,Sat,12/18/10,,Toulouse,3–0,Lorient,,Stadium,Sébastien Moreira,Match Report,
18,Sat,12/18/10,,Rennes,1–0,Valenciennes,,ROAZHON PARK,Fredy Fautrel,Match Report,
18,Sun,12/19/10,,Sochaux,1–1,Bordeaux,,Stade Bonal,Tony Chapron,Match Report,
18,Sun,12/19/10,,Marseille,1–1,Lyon,,Stade Vélodrome,Clément Turpin,Match Report,
,,,,,,,,,,,
19,Tue,12/21/10,,Lorient,0–0,Montpellier,,Stade Yves Allainmat,Philippe Kalt,Match Report,
19,Wed,12/22/10,,Lyon,1–1,Auxerre,,Stade Municipal de Gerland,Ruddy Buquet,Match Report,
19,Wed,12/22/10,,Caen,1–0,Rennes,,Stade Michel d'Ornano,Damien Ledentu,Match Report,
19,Wed,12/22/10,,Brest,0–0,Marseille,,Stade Francis,Hervé Piccirillo,Match Report,
19,Wed,12/22/10,,Arles-Avignon,0–0,Nice,,Parc des Sports,Bartolomeu Varela,Match Report,
19,Wed,12/22/10,,Valenciennes,2–1,Toulouse,,Stade Nungesser,Wilfried Bien,Match Report,
19,Wed,12/22/10,,Monaco,2–1,Sochaux,,Stade Louis II,Nicolas Rainville,Match Report,
19,Wed,12/22/10,,Bordeaux,2–2,Lens,,Stade Chaban,Bruno Coué,Match Report,
19,Wed,12/22/10,,Nancy,2–0,Paris S-G,,Stade Marcel Picot,Antony Gautier,Match Report,
19,Wed,12/22/10,,Lille,1–1,Saint-Étienne,,Stadium Lille Métropole,Saïd Ennjimi,Match Report,
,,,,,,,,,,,
20,Sat,1/15/11,,Rennes,4–0,Arles-Avignon,,ROAZHON PARK,Jean-Charles Cailleux,Match Report,
20,Sat,1/15/11,,Montpellier,2–1,Valenciennes,,Stade de la Mosson et du Mondial 98,Lionel Jaffredo,Match Report,
20,Sat,1/15/11,,Auxerre,1–1,Monaco,,Stade Abbé Deschamps,Stéphane Lannoy,Match Report,
20,Sat,1/15/11,,Nice,0–2,Lille,,Allianz Riviera,Philippe Malige,Match Report,
20,Sat,1/15/11,,Paris S-G,2–1,Sochaux,,Parc des Princes,Wilfried Bien,Match Report,
20,Sat,1/15/11,,Brest,1–3,Caen,,Stade Francis,Antony Gautier,Match Report,
20,Sat,1/15/11,,Toulouse,1–0,Nancy,,Stadium,Fredy Fautrel,Match Report,
20,Sat,1/15/11,,Lyon,3–0,Lorient,,Stade Municipal de Gerland,Pascal Viléo,Match Report,
20,Sat,1/15/11,,Lens,2–1,Saint-Étienne,,Stade Bollaert,Clément Turpin,Match Report,
20,Sun,1/16/11,,Marseille,2–1,Bordeaux,,Stade Vélodrome,Stéphane Bré,Match Report,
