Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
19,Fri,1/21/11,,Hamburger SV,1–0,Eint Frankfurt,,,Wolfgang Stark,Match Report,
19,Sat,1/22/11,,Dortmund,1–1,Stuttgart,,,Felix Brych,Match Report,
19,Sat,1/22/11,,Hannover 96,0–1,Schalke 04,,,Jochen Drees,Match Report,
19,Sat,1/22/11,,Köln,3–0,Werder Bremen,,,Peter Sippel,Match Report,
19,Sat,1/22/11,,Mainz 05,0–1,Wolfsburg,,,Günter Perl,Match Report,
19,Sat,1/22/11,,Bayern Munich,5–1,Kaiserslautern,,,Markus Schmidt,Match Report,
19,Sat,1/22/11,,Freiburg,1–1,Nürnberg,,,Marco Fritz,Match Report,
19,Sun,1/23/11,,Hoffenheim,2–2,St. Pauli,,,Christian Dingert,Match Report,
19,Sun,1/23/11,,M'Gladbach,1–3,Leverkusen,,,Florian Meyer,Match Report,
,,,,,,,,,,,
20,Fri,1/28/11,,Leverkusen,2–0,Hannover 96,,,Manuel Gräfe,Match Report,
20,Sat,1/29/11,,Werder Bremen,1–3,Bayern Munich,,,Thorsten Kinhöfer,Match Report,
20,Sat,1/29/11,,Kaiserslautern,0–1,Mainz 05,,,Wolfgang Stark,Match Report,
20,Sat,1/29/11,,Nürnberg,2–0,Hamburger SV,,,Tobias Welz,Match Report,
20,Sat,1/29/11,,Wolfsburg,0–3,Dortmund,,,Knut Kircher,Match Report,
20,Sat,1/29/11,,St. Pauli,3–0,Köln,,,Felix Brych,Match Report,
20,Sat,1/29/11,,Schalke 04,0–1,Hoffenheim,,,Deniz Aytekin,Match Report,
20,Sun,1/30/11,,Stuttgart,0–1,Freiburg,,,Jochen Drees,Match Report,
20,Sun,1/30/11,,Eint Frankfurt,0–1,M'Gladbach,,,Peter Gagelmann,Match Report,
,,,,,,,,,,,
21,Fri,2/4/11,,Dortmund,0–0,Schalke 04,,,Michael Weiner,Match Report,
21,Sat,2/5/11,,Nürnberg,1–0,Leverkusen,,,Knut Kircher,Match Report,
21,Sat,2/5/11,,Köln,3–2,Bayern Munich,,,Felix Zwayer,Match Report,
21,Sat,2/5/11,,Hannover 96,1–0,Wolfsburg,,,Guido Winkmann,Match Report,
21,Sat,2/5/11,,M'Gladbach,2–3,Stuttgart,,,Thorsten Kinhöfer,Match Report,
21,Sat,2/5/11,,Mainz 05,1–1,Werder Bremen,,,Markus Schmidt,Match Report,
21,Sat,2/5/11,,Hoffenheim,3–2,Kaiserslautern,,,Peter Sippel,Match Report,
21,Sun,2/6/11,,Freiburg,0–0,Eint Frankfurt,,,Florian Meyer,Match Report,
,,,,,,,,,,,
22,Sat,2/12/11,,Stuttgart,1–4,Nürnberg,,,Manuel Gräfe,Match Report,
22,Sat,2/12/11,,Schalke 04,1–0,Freiburg,,,Tobias Welz,Match Report,
22,Sat,2/12/11,,Eint Frankfurt,0–3,Leverkusen,,,Guido Winkmann,Match Report,
22,Sat,2/12/11,,Kaiserslautern,1–1,Dortmund,,,Florian Meyer,Match Report,
22,Sat,2/12/11,,St. Pauli,3–1,M'Gladbach,,,Wolfgang Stark,Match Report,
22,Sat,2/12/11,,Wolfsburg,0–1,Hamburger SV,,,Marco Fritz,Match Report,
22,Sat,2/12/11,,Bayern Munich,4–0,Hoffenheim,,,Peter Gagelmann,Match Report,
22,Sun,2/13/11,,Werder Bremen,1–1,Hannover 96,,,Felix Brych,Match Report,
22,Sun,2/13/11,,Köln,4–2,Mainz 05,,,Deniz Aytekin,Match Report,
,,,,,,,,,,,
21,Wed,2/16/11,,Hamburger SV,0–1,St. Pauli,,,Günter Perl,Match Report,
,,,,,,,,,,,
23,Fri,2/18/11,,Nürnberg,3–0,Eint Frankfurt,,,Thorsten Kinhöfer,Match Report,
23,Sat,2/19/11,,Hamburger SV,4–0,Werder Bremen,,,Florian Meyer,Match Report,
23,Sat,2/19/11,,Dortmund,2–0,St. Pauli,,,Peter Sippel,Match Report,
23,Sat,2/19/11,,Mainz 05,1–3,Bayern Munich,,,Knut Kircher,Match Report,
23,Sat,2/19/11,,Freiburg,2–1,Wolfsburg,,,Robert Hartmann,Match Report,
23,Sat,2/19/11,,Hoffenheim,1–1,Köln,,,Markus Schmidt,Match Report,
23,Sat,2/19/11,,Hannover 96,3–0,Kaiserslautern,,,Felix Zwayer,Match Report,
23,Sun,2/20/11,,M'Gladbach,2–1,Schalke 04,,,Günter Perl,Match Report,
23,Sun,2/20/11,,Leverkusen,4–2,Stuttgart,,,Michael Weiner,Match Report,
,,,,,,,,,,,
24,Fri,2/25/11,,Wolfsburg,2–1,M'Gladbach,,,Jochen Drees,Match Report,
24,Sat,2/26/11,,Köln,1–0,Freiburg,,,Christian Dingert,Match Report,
24,Sat,2/26/11,,Kaiserslautern,1–1,Hamburger SV,,,Felix Brych,Match Report,
24,Sat,2/26/11,,St. Pauli,0–1,Hannover 96,,,Peter Gagelmann,Match Report,
24,Sat,2/26/11,,Bayern Munich,1–3,Dortmund,,,Manuel Gräfe,Match Report,
24,Sat,2/26/11,,Hoffenheim,1–2,Mainz 05,,,Guido Winkmann,Match Report,
24,Sat,2/26/11,,Schalke 04,1–1,Nürnberg,,,Marco Fritz,Match Report,
24,Sun,2/27/11,,Werder Bremen,2–2,Leverkusen,,,Deniz Aytekin,Match Report,
24,Sun,2/27/11,,Eint Frankfurt,0–2,Stuttgart,,,Wolfgang Stark,Match Report,
,,,,,,,,,,,
25,Fri,3/4/11,,Dortmund,1–0,Köln,,,Günter Perl,Match Report,
25,Sat,3/5/11,,Nürnberg,5–0,St. Pauli,,,Markus Wingenbach,Match Report,
25,Sat,3/5/11,,M'Gladbach,2–0,Hoffenheim,,,Florian Meyer,Match Report,
25,Sat,3/5/11,,Hannover 96,3–1,Bayern Munich,,,Jochen Drees,Match Report,
25,Sat,3/5/11,,Stuttgart,1–0,Schalke 04,,,Felix Brych,Match Report,
25,Sat,3/5/11,,Leverkusen,3–0,Wolfsburg,,,Felix Zwayer,Match Report,
25,Sat,3/5/11,,Eint Frankfurt,0–0,Kaiserslautern,,,Michael Weiner,Match Report,
