Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
10,Sun,2010-10-24,,AZ Alkmaar,3–0,Willem II,,AFAS Stadion,Reinold Wiedemeijer,Match Report,
10,Sun,2010-10-24,,Vitesse,1–4,Utrecht,,GelreDome,Ruud Bossen,Match Report,
10,Sun,2010-10-24,,PSV Eindhoven,10–0 ,Feyenoord,,Philips Stadion,Bas Nijhuis,Match Report,
10,Sun,2010-10-24,,Twente,3–2,ADO Den Haag,,De Grolsch Veste,Pol van Boekel,Match Report,

11,Tue,2010-10-26,,Roda JC,1–1,NEC Nijmegen,,Parkstad Limburg Stadion,Serdar Gözübüyük,Match Report,
11,Tue,2010-10-26,,Heracles Almelo,4–1,NAC Breda,,Polman Stadion,Kevin Blom,Match Report,
11,Wed,2010-10-27,,Ajax,3–1,Heerenveen,,Amsterdam ArenA,Eric Braamhaar,Match Report,
11,Wed,2010-10-27,,Utrecht,2–0,Excelsior,,Galgenwaard,Tom van Sichem,Match Report,
11,Wed,2010-10-27,,Willem II,1–3,Twente,,Koning Willem II Stadion,Danny Makkelie,Match Report,
11,Wed,2010-10-27,,Vitesse,0–2,PSV Eindhoven,,GelreDome,Pieter Vink,Match Report,
11,Wed,2010-10-27,,Groningen,3–1,ADO Den Haag,,Euroborg,Ben Haverkort,Match Report,
11,Wed,2010-10-27,,De Graafschap,2–1,AZ Alkmaar,,De Vijverberg,Jack van Hulten,Match Report,
11,Wed,2010-10-27,,Feyenoord,3–0,VVV-Venlo,,De Kuip,Ed Janssen,Match Report,

12,Sat,2010-10-30,,Excelsior,0–2,Heerenveen,,Stadion Woudestein,Pieter Vink,Match Report,
12,Sat,2010-10-30,,Heracles Almelo,1–4,Ajax,,Polman Stadion,Ruud Bossen,Match Report,
12,Sat,2010-10-30,,NAC Breda,2–0,De Graafschap,,Rat Verlegh Stadion,Tom van Sichem,Match Report,
12,Sat,2010-10-30,,PSV Eindhoven,0–1,Twente,,Philips Stadion,Kevin Blom,Match Report,
12,Sat,2010-10-30,,VVV-Venlo,3–5,Groningen,,Seacon Stadion - De Koel -,Reinold Wiedemeijer,Match Report,
12,Sun,2010-10-31,,ADO Den Haag,1–0,Utrecht,,Kyocera Stadium,Jack van Hulten,Match Report,
12,Sun,2010-10-31,,AZ Alkmaar,2–1,Feyenoord,,AFAS Stadion,Danny Makkelie,Match Report,
12,Sun,2010-10-31,,Roda JC,2–2,Willem II,,Parkstad Limburg Stadion,Björn Kuipers,Match Report,
12,Sun,2010-10-31,,NEC Nijmegen,0–0,Vitesse,,Goffertstadion,Eric Braamhaar,Match Report,

13,Fri,2010-11-05,,Willem II,1–4,VVV-Venlo,,Koning Willem II Stadion,Kevin Blom,Match Report,
13,Sat,2010-11-06,,De Graafschap,1–4,NEC Nijmegen,,De Vijverberg,Pol van Boekel,Match Report,
13,Sat,2010-11-06,,Heerenveen,3–2,Heracles Almelo,,Abe Lenstra stadion,Reinold Wiedemeijer,Match Report,
13,Sat,2010-11-06,,Groningen,2–1,NAC Breda,,Euroborg,Björn Kuipers,Match Report,
13,Sat,2010-11-06,,Twente,2–1,Excelsior,,De Grolsch Veste,Richard Liesveld,Match Report,
13,Sun,2010-11-07,,Utrecht,1–2,PSV Eindhoven,,Galgenwaard,Jan Wegereef,Match Report,
13,Sun,2010-11-07,,Feyenoord,1–1,Roda JC,,De Kuip,Pieter Vink,Match Report,
13,Sun,2010-11-07,,Ajax,0–1,ADO Den Haag,,Amsterdam ArenA,Bas Nijhuis,Match Report,
13,Sun,2010-11-07,,Vitesse,1–1,AZ Alkmaar,,GelreDome,Jeroen Sanders,Match Report,

14,Sat,2010-11-13,,NAC Breda,2–1,Twente,,Rat Verlegh Stadion,Jack van Hulten,Match Report,
14,Sat,2010-11-13,,PSV Eindhoven,4–2,Excelsior,,Philips Stadion,Ruud Bossen,Match Report,
14,Sun,2010-11-14,,AZ Alkmaar,2–0,Ajax,,AFAS Stadion,Pieter Vink,Match Report,
14,Sun,2010-11-14,,Heracles Almelo,3–0,Groningen,,Polman Stadion,Jan Wegereef,Match Report,
14,Sun,2010-11-14,,NEC Nijmegen,1–1,ADO Den Haag,,Goffertstadion,Michel Winter,Match Report,
14,Sun,2010-11-14,,VVV-Venlo,1–5,Vitesse,,Seacon Stadion - De Koel -,Danny Makkelie,Match Report,
14,Sun,2010-11-14,,Feyenoord,2–2,Heerenveen,,De Kuip,Richard Liesveld,Match Report,

15,Sat,2010-11-20,,De Graafschap,3–1,Roda JC,,De Vijverberg,Jan Wegereef,Match Report,
15,Sat,2010-11-20,,Excelsior,1–0,VVV-Venlo,,Stadion Woudestein,Bas Nijhuis,Match Report,
15,Sat,2010-11-20,,Vitesse,2–0,Heracles Almelo,,GelreDome,Serdar Gözübüyük,Match Report,
15,Sat,2010-11-20,,Twente,1–2,AZ Alkmaar,,De Grolsch Veste,Ruud Bossen,Match Report,
15,Sat,2010-11-20,,Ajax,0–0,PSV Eindhoven,,Amsterdam ArenA,Björn Kuipers,Match Report,
15,Sun,2010-11-21,,ADO Den Haag,3–0,NAC Breda,,Kyocera Stadium,Eric Braamhaar,Match Report,
15,Sun,2010-11-21,,Groningen,2–0,Feyenoord,,Euroborg,Jack van Hulten,Match Report,
15,Sun,2010-11-21,,Heerenveen,5–0,Willem II,,Abe Lenstra stadion,Ben Haverkort,Match Report,
15,Sun,2010-11-21,,Utrecht,4–0,NEC Nijmegen,,Galgenwaard,Pieter Vink,Match Report,

14,Wed,2010-11-24,,Willem II,0–1,De Graafschap,,Koning Willem II Stadion,Eric Braamhaar,Match Report,
14,Wed,2010-11-24,,Roda JC,1–1,Utrecht,,Parkstad Limburg Stadion,Kevin Blom,Match Report,

16,Fri,2010-11-26,,NAC Breda,4–2,PSV Eindhoven,,Rat Verlegh Stadion,Pieter Vink,Match Report,
16,Sat,2010-11-27,,AZ Alkmaar,2–2,Heerenveen,,AFAS Stadion,Kevin Blom,Match Report,
16,Sat,2010-11-27,,Willem II,1–1,Excelsior,,Koning Willem II Stadion,Pol van Boekel,Match Report,
16,Sat,2010-11-27,,Roda JC,1–0,Groningen,,Parkstad Limburg Stadion,Eric Braamhaar,Match Report,
16,Sat,2010-11-27,,NEC Nijmegen,2–4,Twente,,Goffertstadion,Tom van Sichem,Match Report,
16,Sun,2010-11-28,,VVV-Venlo,0–2,Ajax,,Seacon Stadion - De Koel -,Jack van Hulten,Match Report,
16,Sun,2010-11-28,,De Graafschap,1–1,Vitesse,,De Vijverberg,Björn Kuipers,Match Report,
16,Sun,2010-11-28,,Feyenoord,2–1,ADO Den Haag,,De Kuip,Reinold Wiedemeijer,Match Report,
16,Sun,2010-11-28,,Heracles Almelo,2–1,Utrecht,,Polman Stadion,Ed Janssen,Match Report,

17,Fri,2010-12-03,,Groningen,4–1,Vitesse,,Euroborg,Ben Haverkort,Match Report,
17,Sat,2010-12-04,,Ajax,1–1,NEC Nijmegen,,Amsterdam ArenA,Ed Janssen,Match Report,
17,Sat,2010-12-04,,PSV Eindhoven,5–2,Heracles Almelo,,Philips Stadion,Pol van Boekel,Match Report,
17,Sat,2010-12-04,,Twente,2–0,De Graafschap,,De Grolsch Veste,Danny Makkelie,Match Report,
17,Sun,2010-12-05,,Willem II,1–1,Feyenoord,,Koning Willem II Stadion,Ruud Bossen,Match Report,
17,Sun,2010-12-05,,Utrecht,2–1,Heerenveen,,Galgenwaard,Tom van Sichem,Match Report,
17,Sun,2010-12-05,,ADO Den Haag,0–2,AZ Alkmaar,,Kyocera Stadium,Bas Nijhuis,Match Report,

18,Fri,2010-12-10,,Heracles Almelo,2–2,VVV-Venlo,,Polman Stadion,Michel Winter,Match Report,
18,Sat,2010-12-11,,De Graafschap,0–0,PSV Eindhoven,,De Vijverberg,Bas Nijhuis,Match Report,
18,Sat,2010-12-11,,NEC Nijmegen,3–1,Willem II,,Goffertstadion,Richard Liesveld,Match Report,
18,Sat,2010-12-11,,Roda JC,1–1,ADO Den Haag,,Parkstad Limburg Stadion,Jack van Hulten,Match Report,
18,Sat,2010-12-11,,NAC Breda,3–1,Utrecht,,Rat Verlegh Stadion,Christof Dierick,Match Report,
18,Sun,2010-12-12,,Groningen,2–0,AZ Alkmaar,,Euroborg,Kevin Blom,Match Report,
18,Sun,2010-12-12,,Heerenveen,6–2,Twente,,Abe Lenstra stadion,Pieter Vink,Match Report,
18,Sun,2010-12-12,,Feyenoord,1–0,Excelsior,,De Kuip,Danny Makkelie,Match Report,
18,Sun,2010-12-12,,Vitesse,0–1,Ajax,,GelreDome,Pol van Boekel,Match Report,

17,Tue,2010-12-14,,VVV-Venlo,0–4,Roda JC,,Seacon Stadion - De Koel -,Richard Liesveld,Match Report,
17,Wed,2010-12-15,,Excelsior,1–3,NAC Breda,,Stadion Woudestein,Jeroen Sanders,Match Report,

19,Sat,2010-12-18,,ADO Den Haag,2–1,Willem II,,Kyocera Stadium,Serdar Gözübüyük,Match Report,
19,Sat,2010-12-18,,NAC Breda,1–1,Vitesse,,Rat Verlegh Stadion,Richard Liesveld,Match Report,
19,Sat,2010-12-18,,Excelsior,2–2,Groningen,,Stadion Woudestein,Bas Nijhuis,Match Report,
19,Sat,2010-12-18,,Heerenveen,4–0,De Graafschap,,Abe Lenstra stadion,Ed Janssen,Match Report,
19,Sun,2010-12-19,,PSV Eindhoven,3–1,Roda JC,,Philips Stadion,Ruud Bossen,Match Report,
19,Wed,2011-01-19,,AZ Alkmaar,2–2,NEC Nijmegen,,AFAS Stadion,Ruud Bossen,Match Report,
19,Wed,2011-01-19,,Ajax,2–0,Feyenoord,,Amsterdam ArenA,Pieter Vink,Match Report,
