Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
13,Sat,2010-12-04,,União de Leiria,3–1,Braga,,Estádio Dr. Magalhães Pessoa ,Artur Soares Dias,Match Report,
13,Sat,2010-12-04,,Vitória,1–1,Paços,,Estádio Dom Afonso Henriques ,André Gralha,Match Report,
13,Sun,2010-12-05,,Rio Ave,1–1,Beira-Mar,,Estádio do Rio Ave Futebol Clube ,Bruno Esteves,Match Report,
13,Sun,2010-12-05,,Portimonense,1–3,Sporting CP,,Estádio do Portimonense SC ,Rui Costa,Match Report,
13,Mon,2010-12-06,,Nacional,2–1,Naval,,Estádio da Madeira ,Hugo Pacheco,Match Report,
13,Mon,2010-12-06,,Porto,1–0,Vitória Setúbal,,Estádio Do Dragão ,Elmano Santos,Match Report,
13,Wed,2010-12-08,,Académica,1–5,Marítimo,,Estádio EFAPEL ,Luís Catita,Match Report,

14,Fri,2010-12-17,,Braga,5–0,Académica,,Estádio Municipal de Braga ,Marco Ferreira,Match Report,
14,Sat,2010-12-18,,Benfica,5–2,Rio Ave,,Estádio do Sport Lisboa e Benfica ,Hugo Miguel,Match Report,
14,Sat,2010-12-18,,Beira-Mar,3–2,Vitória,,Estádio Municipal de Aveiro ,Jorge Sousa,Match Report,
14,Sun,2010-12-19,,Naval,0–3,União de Leiria,,Estádio Municipal José Bento Pessoa ,Paulo Baptista,Match Report,
14,Sun,2010-12-19,,Paços,0–3,Porto,,Estádio da Capital do Móvel ,Artur Soares Dias,Match Report,
14,Sun,2010-12-19,,Marítimo,1–1,Portimonense,,Estádio dos Barreiros ,Olegário Benquerença,Match Report,
14,Sun,2010-12-19,,Olhanense,0–0,Nacional,,Estádio José Arcanjo ,Manuel Mota,Match Report,
14,Mon,2010-12-20,,Vitória Setúbal,0–3,Sporting CP,,Estádio do Bonfim ,João Capela,Match Report,

15,Fri,2011-01-07,,Portimonense,3–4,Vitória Setúbal,,Estádio do Portimonense SC ,Jorge Sousa,Match Report,
